State,Waste from Household Sources,Waste From Organic Sources,Waste from Garden Sources,Waste from Recyclable Sources,Renewable Energy from Gas,Renewable Energy from Hydro,Renewable Energy from Wind,Renewable Energy from Solar,Renewable Energy from Biomass,Environmental Protection Investment in Waste,Environmental Protection Investment in Sewage,Environmental Protection Investment in Noise,Environmental Protection Investment in Air Pollution,Environmental Protection Investment in Climate,Environmental Protection Investment in Species Protection
Baden-Wuerttemberg,31.2,11.2,20.5,37.0,1.5,7.6,4.7,12.9,68.3,25.7,30.2,1.1,6.3,34.0,2.7
Bavaria,34.5,11.6,20.1,32.8,1.1,10.6,4.6,14.7,64.7,27.8,33.7,1.1,10.2,22.7,4.6
Berlin,64.5,5.5,1.0,28.8,0.1,null,0.7,3.1,91.3,13.1,33.9,0.2,0.9,50.0,1.9
Brandenburg,49.2,2.5,15.7,32.0,1.1,0.0,31.5,10.0,55.8,23.4,44.6,0.8,7.6,22.4,1.1
Bremen,51.8,7.8,12.0,28.4,3.4,1.1,12.9,1.9,79.8,21.4,null,null,4.7,43.2,null
Hamburg,60.7,8.6,3.5,26.6,5.9,0.0,5.5,1.8,83.7,28.3,null,null,3.4,13.0,null
Hesse,38.8,19.9,10.4,30.7,1.8,0.8,14.5,8.8,70.9,40.1,22.6,0.7,5.9,16.0,14.8
Mecklenburg-Western Pomerania,51.1,6.7,11.8,30.3,1.0,0.0,27.7,5.8,64.5,19.3,32.6,0.3,6.2,40.4,1.3
Lower Saxony,36.0,12.8,18.9,31.9,0.7,0.3,39.4,5.3,53.2,22.2,33.0,0.7,3.5,37.6,3.1
North Rhine-Westphalia,45.2,14.9,9.7,29.9,3.2,0.8,17.2,8.8,66.0,31.4,41.6,1.1,7.6,15.4,3.0
Rhineland-Palatinate,34.3,15.4,17.4,31.9,1.0,3.5,26.1,10.4,55.3,22.3,57.5,2.6,4.2,12.8,0.7
Saarland,38.3,12.2,16.9,32.5,null,null,null,null,null,11.8,66.5,1.8,7.3,10.3,2.3
Saxony,44.6,11.7,6.6,36.7,1.6,1.2,12.2,13.4,68.1,19.1,50.4,0.8,7.8,16.8,5.1
Saxony-Anhalt,42.5,14.6,12.3,30.3,0.7,0.3,28.9,8.9,60.3,22.4,32.6,0.9,5.0,32.1,7.0
Schleswig-Holstein,45.3,18.2,5.8,30.5,0.7,0.0,56.9,4.7,36.3,41.9,43.8,0.4,2.8,7.4,3.8
Thuringia,42.8,7.7,18.1,31.2,0.7,1.2,17.4,9.8,68.6,15.5,64.8,0.9,3.0,8.7,7.1